-17.0507,-0.486493
-17.0412,-0.486041
-17.0316,-0.485588
-17.022,-0.485136
-17.0125,-0.484683
-17.0029,-0.484231
-16.9933,-0.48378
-16.9838,-0.483328
-16.9742,-0.482877
-16.9646,-0.482426
-16.9551,-0.481975
-16.9455,-0.481524
-16.9359,-0.481073
-16.9264,-0.480623
-16.9168,-0.480173
-16.9072,-0.479723
-16.8977,-0.479274
-16.8881,-0.478824
-16.8786,-0.478375
-16.869,-0.477926
-16.8594,-0.477477
-16.8499,-0.477028
-16.8403,-0.47658
-16.8307,-0.476132
-16.8212,-0.475684
-16.8116,-0.475236
-16.802,-0.474788
-16.7925,-0.474341
-16.7829,-0.473893
-16.7734,-0.473446
-16.7638,-0.473
-16.7542,-0.472553
-16.7447,-0.472107
-16.7351,-0.471661
-16.7255,-0.471215
-16.716,-0.470769
-16.7064,-0.470323
-16.6969,-0.469878
-16.6873,-0.469433
-16.6777,-0.468988
-16.6682,-0.468543
-16.6586,-0.468099
-16.6491,-0.467654
-16.6395,-0.46721
-16.6299,-0.466766
-16.6204,-0.466323
-16.6108,-0.465879
-16.6013,-0.465436
-16.5917,-0.464993
-16.5821,-0.46455
-16.5726,-0.464108
-16.563,-0.463665
-16.5535,-0.463223
-16.5439,-0.462781
-16.5344,-0.462339
-16.5248,-0.461897
-16.5152,-0.461456
-16.5057,-0.461015
-16.4961,-0.460574
-16.4866,-0.460133
-16.477,-0.459692
-16.4674,-0.459252
-16.4579,-0.458812
-16.4483,-0.458372
-16.4388,-0.457932
-16.4292,-0.457493
-16.4197,-0.457053
-16.4101,-0.456614
-16.4005,-0.456175
-16.391,-0.455737
-16.3814,-0.455298
-16.3719,-0.45486
-16.3623,-0.454422
-16.3528,-0.453984
-16.3432,-0.453546
-16.3337,-0.453109
-16.3241,-0.452671
-16.3145,-0.452234
-16.305,-0.451797
-16.2954,-0.451361
-16.2859,-0.450924
-16.2763,-0.450488
-16.2668,-0.450052
-16.2572,-0.449616
-16.2477,-0.449181
-16.2381,-0.448745
-16.2286,-0.44831
-16.219,-0.447875
-16.2095,-0.44744
-16.1999,-0.447006
-16.1903,-0.446571
-16.1808,-0.446137
-16.1712,-0.445703
-16.1617,-0.445269
-16.1521,-0.444836
-16.1426,-0.444403
-16.133,-0.443969
-16.1235,-0.443536
-16.1139,-0.443104
-16.1044,-0.442671
-16.0948,-0.442239
-16.0853,-0.441807
-16.0757,-0.441375
-16.0662,-0.440943
-16.0566,-0.440512
-16.0471,-0.44008
-16.0375,-0.439649
-16.028,-0.439219
-16.0184,-0.438788
-16.0089,-0.438357
-15.9993,-0.437927
-15.9898,-0.437497
-15.9802,-0.437067
-15.9707,-0.436638
-15.9611,-0.436208
-15.9516,-0.435779
-15.942,-0.43535
-15.9325,-0.434921
-15.9229,-0.434493
-15.9134,-0.434064
-15.9038,-0.433636
-15.8943,-0.433208
-15.8847,-0.43278
-15.8752,-0.432353
-15.8656,-0.431925
-15.8561,-0.431498
-15.8465,-0.431071
-15.837,-0.430644
-15.8274,-0.430218
-15.8179,-0.429792
-15.8084,-0.429366
-15.7988,-0.42894
-15.7893,-0.428514
-15.7797,-0.428088
-15.7702,-0.427663
-15.7606,-0.427238
-15.7511,-0.426813
-15.7415,-0.426388
